DATAFLOW,LAST UPDATE,freq,wst_oper,waste,nace_r2,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,C10_C11,KG_HAB,ES,2020,30,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,C10_C11,KG_HAB,EU27_2020,2020,27,s
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,C10_C11,KG_HAB,FI,2020,29,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,C10_C11,KG_HAB,FR,2020,26,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,C10_C11,KG_HAB,HR,2020,2,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,C10_C11,KG_HAB,HU,2020,19,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,C10_C11,KG_HAB,IE,2020,44,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,C10_C11,KG_HAB,IT,2020,9,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,C10_C11,KG_HAB,LT,2020,10,e
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,C10_C11,KG_HAB,LU,2020,17,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,C10_C11,KG_HAB,LV,2020,19,d
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,C10_C11,KG_HAB,MT,2020,9,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,C10_C11,KG_HAB,NL,2020,59,e
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,C10_C11,KG_HAB,NO,2020,5,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,C10_C11,KG_HAB,PL,2020,21,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,C10_C11,KG_HAB,PT,2020,6,e
